"child"	"age"	"sex"	"task"	"rater1"	"rater2"	"rater2b"	"rater1.sds"	"rater2.sds"	"rater2b.sds"
6	6	1	14	34.2	36.1	36	0.65	1.01	1
6	6	1	15	27.1	27.7	27.2	0.37	0.51	0.39
6	6	1	16	30.6	31	30.9	-0.06	0.02	0
7	6	2	1	11.8	11	11	1.67	1.35	1.35
7	6	2	2	9.7	9	9.2	0.5	0.16	0.26
7	6	2	3	11.1	9.1	9.4	-0.44	-1.22	-1.09
7	6	2	4	15.5	13.5	14.4	0.66	0.13	0.38
7	6	2	5	9.8	6.9	6.9	1.81	-0.06	-0.06
7	6	2	6	13.3	8.9	7.3	2.93	0.79	-0.27
7	6	2	7	7.9	8.2	7.8	-1.5	-1.28	-1.58
7	6	2	8	11.4	12.5	12	0.26	0.8	0.56
7	6	2	9	8.1	7	7.2	0.91	0.12	0.27
7	6	2	10	9.4	8.1	8.6	1.03	0.22	0.55
7	6	2	11	9.6	9.8	8	0.38	0.47	-0.42
7	6	2	12	9.3	9	9	0.33	0.19	0.19
7	6	2	13	31	31.4	31.3	1.3	1.39	1.37
7	6	2	14	35	35.8	35.6	0.81	0.96	0.92
7	6	2	15	29.5	30.6	30.6	0.91	1.14	1.14
7	6	2	16	30.5	30.4	30.6	-0.09	-0.11	-0.06
8	6	2	1	5.9	6.8	6.1	-1.49	-0.84	-1.34
8	6	2	2	6.2	6.8	5.9	-1.54	-1.12	-1.77
8	6	2	3	10.7	9.8	9.9	-0.59	-0.93	-0.89
8	6	2	4	7.9	8.1	8.1	-1.96	-1.86	-1.86
8	6	2	5	5.5	6.3	6	-1.27	-0.55	-0.81
8	6	2	6	6	6.7	6.5	-1.32	-0.73	-0.89
8	6	2	7	7	7	6.8	-2.22	-2.22	-2.39
8	6	2	8	8.3	9.3	9.2	-1.62	-0.95	-1.01
8	6	2	9	6.2	7.6	6.9	-0.54	0.56	0.04
8	6	2	10	6.8	7.7	6.8	-0.73	-0.05	-0.73
8	6	2	11	7.4	7.4	7.2	-0.77	-0.77	-0.89
8	6	2	12	8.3	7.8	7.8	-0.17	-0.44	-0.44
8	6	2	13	24.4	24.7	25	-0.29	-0.21	-0.13
8	6	2	14	32.4	33.2	33.2	0.3	0.46	0.46
8	6	2	15	22	22.5	22.4	-0.97	-0.83	-0.85
8	6	2	16	35.1	35.2	35.4	0.81	0.83	0.87
9	6	2	1	6.5	6.5	7	-1.05	-1.05	-0.71
9	6	2	2	7.4	7.5	7.4	-0.73	-0.67	-0.73
9	6	2	3	7.1	6.6	6.7	-2.18	-2.46	-2.41
9	6	2	4	7.4	7.1	7	-2.21	-2.37	-2.43
9	6	2	5	6.6	6.7	6.7	-0.3	-0.22	-0.22
9	6	2	6	7.4	7.5	7.5	-0.2	-0.13	-0.13
9	6	2	7	8.6	8.4	8.5	-1	-1.14	-1.07
9	6	2	8	8.6	8.6	8.3	-1.41	-1.41	-1.62
9	6	2	9	6	7.7	6.4	-0.72	0.64	-0.37
9	6	2	10	6.7	7.2	7.3	-0.81	-0.42	-0.34
9	6	2	11	8	8.4	8.1	-0.42	-0.21	-0.37
9	6	2	12	8.6	15.4	15	-0.01	2.56	2.44
9	6	2	13	22.4	23.1	23.5	-0.86	-0.65	-0.54
9	6	2	14	25.4	26.7	27.1	-1.32	-0.99	-0.89
9	6	2	15	27	29	28.9	0.34	0.8	0.78
9	6	2	16	25.5	27.2	26.6	-1.23	-0.82	-0.96
10	6	1	1	6.3	6	6.7	-1.19	-1.41	-0.91
10	6	1	2	7.5	7.7	7.6	-0.67	-0.55	-0.61
10	6	1	3	6.5	5.2	5.3	-2.52	-3.39	-3.32
10	6	1	4	9.4	8.8	8.7	-1.28	-1.54	-1.58
10	6	1	5	7.6	8.6	8.3	0.74	1.4	1.21
10	6	1	6	5.2	7	6.2	-1.81	-0.22	-0.87
10	6	1	7	9	8.6	8.9	-0.73	-1	-0.8
10	6	1	8	10	8.9	7.2	-0.52	-1.21	-2.46
10	6	1	9	7	7.1	7.2	0.12	0.2	0.27
10	6	1	10	6.6	7.5	6.8	-0.89	-0.2	-0.73
10	6	1	11	9.8	10.8	10.2	0.14	0.56	0.31
10	6	1	12	11.9	12.5	12.3	1.08	1.3	1.23
10	6	1	13	30.8	30.9	31.2	1.26	1.28	1.35
10	6	1	14	34	34.7	34.4	0.62	0.75	0.69
10	6	1	15	25.9	28.3	28.1	0.08	0.64	0.6
10	6	1	16	27.7	28.1	27.9	-0.7	-0.61	-0.66
11	6	2	1	8.6	9.3	8.8	0.23	0.59	0.33
11	6	2	2	8.5	8.3	8.6	-0.1	-0.21	-0.05
11	6	2	3	10.6	10.3	10.2	-0.62	-0.74	-0.77
11	6	2	4	10.4	9.9	9.7	-0.89	-1.08	-1.16
11	6	2	5	5.3	5.6	5.2	-1.47	-1.18	-1.57
11	6	2	6	6.9	6.8	6.9	-0.57	-0.65	-0.57
11	6	2	7	7.9	7.5	7.3	-1.5	-1.81	-1.97
11	6	2	8	8.5	8	8	-1.48	-1.84	-1.84
11	6	2	9	7.2	7.3	7.3	0.27	0.35	0.35
11	6	2	10	8	7.6	8.4	0.15	-0.13	0.42
11	6	2	11	7.5	3.5	7.5	-0.71	-4.07	-0.71
11	6	2	12	10.8	11.8	11	0.99	1.38	1.07
11	6	2	13	24.1	25.5	25.2	-0.37	0	-0.07
11	6	2	14	30.3	31	32	-0.15	0	0.21
11	6	2	15	23.3	25	24	-0.6	-0.15	-0.41
11	6	2	16	35.6	36.7	36.4	0.91	1.1	1.05
12	6	2	1	7.3	7.7	7.3	-0.52	-0.28	-0.52
12	6	2	2	8.3	7.5	8	-0.21	-0.67	-0.38
12	6	2	3	12.9	12.6	12.7	0.14	0.05	0.08
12	6	2	4	16.3	14.3	14.2	0.86	0.35	0.32
12	6	2	5	8.4	9.7	8.6	0.99	1.76	1.12
12	6	2	6	7.1	7.6	6.9	-0.42	-0.06	-0.57
12	6	2	7	7.1	7	7	-2.13	-2.22	-2.22
12	6	2	8	8.3	8.3	8.3	-1.62	-1.62	-1.62
12	6	2	9	7	6.9	7.4	0.12	0.04	0.42
12	6	2	10	7.6	8.7	7.9	-0.13	0.61	0.08
12	6	2	11	9	9.7	9.7	0.1	0.43	0.43
12	6	2	12	8.1	7.7	7.6	-0.28	-0.5	-0.56
12	6	2	13	25.4	25.3	25.9	-0.02	-0.05	0.11
12	6	2	14	32.9	33.7	33.7	0.4	0.56	0.56
12	6	2	15	21	21.2	21.7	-1.27	-1.21	-1.06
12	6	2	16	34.4	34.7	34.6	0.69	0.74	0.72
13	6	1	1	11.2	11.3	11.3	1.43	1.48	1.48
13	6	1	2	14.2	13.7	13.7	2.24	2.08	2.08
13	6	1	3	16.7	10.3	10.1	1.14	-0.74	-0.81
13	6	1	4	13.7	12.2	11.21	0.18	-0.27	-0.6
13	6	1	5	6.2	6.8	6.4	-0.35	0.14	-0.18
13	6	1	6	7.6	7.7	7.7	0.22	0.29	0.29
13	6	1	7	9.6	9.2	9	-0.35	-0.6	-0.73
13	6	1	8	11.8	8.8	8.4	0.46	-1.27	-1.55
13	6	1	9	7.3	7.4	6.4	0.35	0.42	-0.37
13	6	1	10	7.7	8.7	7.8	-0.05	0.61	0.02
13	6	1	11	7	7.5	7	-1.35	-1.04	-1.35
13	6	1	12	6.8	6.6	6.5	-1.39	-1.52	-1.58
13	6	1	13	24.3	24	24.2	-0.32	-0.4	-0.34
13	6	1	14	28.4	27.6	27.2	-0.58	-0.77	-0.87
13	6	1	15	22.9	23.4	23.3	-0.71	-0.57	-0.6
13	6	1	16	26.8	27.5	27.1	-0.91	-0.75	-0.84
14	6	1	1	5.2	5.6	5.5	-2.07	-1.73	-1.81
14	6	1	2	6.9	7.2	7	-1.05	-0.86	-0.99
14	6	1	3	7.9	8.1	8.2	-1.77	-1.67	-1.62
14	6	1	4	9.1	9.2	9	-1.41	-1.36	-1.45
14	6	1	5	4.2	4.6	4.6	-2.43	-1.95	-1.95
14	6	1	6	4.3	4.9	4.7	-2.82	-2.12	-2.35
14	6	1	7	7.7	7.8	7.6	-1.65	-1.58	-1.73
14	6	1	8	7.2	7.3	7.7	-2.46	-2.38	-2.06
14	6	1	9	4.8	5.9	5.3	-1.93	-0.81	-1.39
14	6	1	10	6.2	6.2	5.8	-1.23	-1.23	-1.59
14	6	1	11	7.8	7.6	7.8	-0.87	-0.99	-0.87
14	6	1	12	11.2	9.3	9.1	0.82	0	-0.1
14	6	1	13	22.5	22.5	23.4	-0.83	-0.83	-0.57
14	6	1	14	23.3	23.3	23.6	-1.9	-1.9	-1.81
14	6	1	15	24.2	24.8	24.4	-0.36	-0.2	-0.31
14	6	1	16	21.6	21.2	21.9	-2.3	-2.42	-2.21
15	6	2	1	15.7	14.8	14.9	2.98	2.71	2.74
15	6	2	2	15.9	15.1	15.1	2.76	2.52	2.52
15	6	2	3	20.6	15.8	15.5	1.96	0.93	0.85
15	6	2	4	19.3	18.3	18.4	1.52	1.31	1.33
15	6	2	5	6.7	6.5	6.4	-0.22	-0.38	-0.46
15	6	2	6	10.2	9.9	10.1	1.51	1.36	1.46
15	6	2	7	15.2	10.2	10.2	2.37	0.01	0.01
15	6	2	8	11.9	10.8	11	0.51	-0.06	0.05
15	6	2	9	7.8	8.1	7.5	0.71	0.91	0.49
15	6	2	10	9.6	9.9	9.2	1.14	1.31	0.91
15	6	2	11	11.7	12.7	11.9	1.25	1.62	1.33
15	6	2	12	9.6	10.3	10	0.47	0.78	0.65
15	6	2	13	29	29	29	0.86	0.86	0.86
15	6	2	14	30.6	31.7	31.1	-0.08	0.15	0.02
15	6	2	15	27.4	27.4	27.5	0.44	0.44	0.46
15	6	2	16	26.8	27.4	27.1	-0.91	-0.77	-0.84
16	6	1	1	9.1	8.9	9	0.49	0.39	0.44
16	6	1	2	12.1	11.3	11.3	1.51	1.2	1.2
16	6	1	3	9.3	7.8	7.6	-1.13	-1.82	-1.92
16	6	1	4	13	11.9	12.2	-0.02	-0.36	-0.27
16	6	1	5	9.8	9.9	8.5	2.09	2.15	1.33
16	6	1	6	9.2	8.9	9	1.24	1.07	1.12
16	6	1	7	12.3	11.2	11.2	1.12	0.56	0.56
16	6	1	8	12.5	11.4	11.2	0.8	0.26	0.15
16	6	1	9	7.6	7.3	7	0.56	0.35	0.12
16	6	1	10	9.3	8.7	8	0.97	0.61	0.15
16	6	1	11	5.6	5.8	5.6	-2.33	-2.18	-2.33
16	6	1	12	8	6.7	6.2	-0.67	-1.45	-1.79
16	6	1	13	26.2	26.5	26.4	0.18	0.26	0.23
16	6	1	14	29.6	30	29.8	-0.31	-0.22	-0.26
16	6	1	15	25.2	25.5	25.4	-0.1	-0.02	-0.05
16	6	1	16	27.6	27.9	28	-0.73	-0.66	-0.63
17	7	2	1	10.7	10.4	10.5	1.8	1.67	1.71
17	7	2	2	9.4	8.2	9.4	0.93	0.31	0.93
17	7	2	3	8.5	7.7	7.8	-0.9	-1.28	-1.23
17	7	2	4	8	7.6	7.5	-1.32	-1.52	-1.57
17	7	2	5	6.3	6.6	6.2	0.04	0.29	-0.04
17	7	2	6	7.8	7.6	7.8	0.67	0.53	0.67
17	7	2	7	7.1	6.6	6.6	-1.5	-1.94	-1.94
17	7	2	8	7.8	7.7	7.3	-1.36	-1.43	-1.75
17	7	2	9	5.8	6.9	6.5	-0.41	0.54	0.21
17	7	2	10	6.5	7.3	6.5	-0.48	0.15	-0.48
17	7	2	11	10.2	5.6	10	-1.36	-3.96	-1.45
17	7	2	12	9.7	5.5	9.9	-1.52	-3.98	-1.44
17	7	2	13	21.7	22	21.9	-0.58	-0.49	-0.52
17	7	2	14	24.9	24.5	24.2	-0.92	-1.03	-1.11
17	7	2	15	24.9	24.6	23.9	0.34	0.26	0.08
17	7	2	16	24.2	24.7	24.4	-1.01	-0.88	-0.96
18	7	2	1	7.8	8.4	8.4	0.36	0.69	0.69
18	7	2	2	6	5.8	5.7	-1.12	-1.27	-1.35
18	7	2	3	15.2	12	12.9	1.36	0.44	0.72
18	7	2	4	20.1	18.9	19.3	2.26	2.02	2.1
18	7	2	5	5.9	7.5	6.3	-0.31	0.97	0.04
18	7	2	6	6.3	7.7	6.7	-0.47	0.6	-0.14
18	7	2	7	10.8	9.4	8.9	0.98	0.16	-0.17
18	7	2	8	10.1	8.7	9.1	0.17	-0.71	-0.45
18	7	2	9	6.9	7.4	6	0.54	0.92	-0.22
18	7	2	10	7	8.4	6.6	-0.08	0.91	-0.4
18	7	2	11	14.6	15	15.1	0.19	0.31	0.33
18	7	2	12	13.8	14	13.9	0	0.06	0.03
18	7	2	13	25.8	25.8	26	0.57	0.57	0.62
18	7	2	14	22.3	22.9	22.9	-1.65	-1.48	-1.48
18	7	2	15	25.8	26.2	26.6	0.57	0.66	0.76
18	7	2	16	23.3	24.1	23.7	-1.26	-1.04	-1.15
19	7	1	1	5.8	6.1	6.1	-1	-0.77	-0.77
19	7	1	2	7.4	7.2	7.2	-0.16	-0.29	-0.29
19	7	1	3	9.3	8.9	8.7	-0.55	-0.72	-0.81
19	7	1	4	8.4	8.1	8	-1.13	-1.28	-1.32
19	7	1	5	5.8	5.4	4.9	-0.12	-0.5	-1.02
19	7	1	6	5	5.8	5.7	-1.43	-0.63	-0.73
19	7	1	7	7.2	6.4	6.1	-1.42	-2.12	-2.4
19	7	1	8	6.2	7.1	7.2	-2.72	-1.91	-1.83
19	7	1	9	7.9	7	7.4	1.27	0.61	0.92
19	7	1	10	7.8	8.2	8.1	0.51	0.78	0.72
19	7	1	11	11.7	15.6	14.7	-1.1	0.14	-0.11
19	7	1	12	15.8	9.7	12.2	0.26	-1.86	-0.86
19	7	1	13	23.5	25.3	23.9	-0.05	0.44	0.06
19	7	1	14	26.1	26.2	26	-0.61	-0.58	-0.63
19	7	1	15	21.6	22.8	22.2	-0.57	-0.23	-0.4
19	7	1	16	26.6	27.4	26.5	-0.41	-0.22	-0.43
20	7	2	1	8.1	8.6	8.2	0.53	0.8	0.58
20	7	2	2	8.6	9.9	8.5	0.53	1.17	0.47
20	7	2	3	8.7	8.3	8.2	-0.81	-0.99	-1.04
20	7	2	4	9.4	9	8.8	-0.7	-0.87	-0.95
20	7	2	5	7.4	7.4	7.7	0.9	0.9	1.11
20	7	2	6	6.2	6.6	6.6	-0.56	-0.22	-0.22
20	7	2	7	6.6	6.2	6.1	-1.94	-2.31	-2.4
20	7	2	8	8	7.5	7.5	-1.21	-1.59	-1.59
20	7	2	9	6.3	7	6.7	0.04	0.61	0.38
20	7	2	10	6.6	8.2	6.5	-0.4	0.78	-0.48
20	7	2	11	11.3	11.6	11.2	-0.92	-0.81	-0.96
20	7	2	12	14.2	14.4	14.2	0.13	0.19	0.13
20	7	2	13	18.4	18.8	18.8	-1.68	-1.54	-1.54
20	7	2	14	26.3	26.4	26.5	-0.56	-0.53	-0.51
20	7	2	15	17.5	18.2	18.2	-1.92	-1.67	-1.67
20	7	2	16	33.8	34	32	1.13	1.17	0.78
21	7	1	1	11.1	11.2	11	1.97	2.01	1.93
21	7	1	2	12.2	12.5	12.6	2.12	2.23	2.27
21	7	1	3	12.8	12	12.3	0.69	0.44	0.54
21	7	1	4	12.5	11.9	11.8	0.41	0.22	0.19
21	7	1	5	12.6	12	11.9	4.03	3.76	3.72
21	7	1	6	13.6	12.9	13.1	3.92	3.64	3.72
21	7	1	7	9.1	9	8.6	-0.04	-0.1	-0.37
21	7	1	8	8.3	8.1	8	-0.99	-1.14	-1.21
21	7	1	9	7	7.3	6.8	0.61	0.84	0.46
21	7	1	10	6.8	6.7	7.1	-0.23	-0.31	0
21	7	1	11	15.3	15.5	15.2	0.06	0.12	0.03
21	7	1	12	14.7	14.9	14.6	-0.06	0	-0.09
21	7	1	13	20.7	20.8	20.8	-0.9	-0.86	-0.86
21	7	1	14	28.2	28.4	28.4	-0.09	-0.05	-0.05
21	7	1	15	25.2	21.5	21.9	0.42	-0.6	-0.48
21	7	1	16	29.5	30	29.7	0.26	0.36	0.3
22	7	1	1	8.7	6.3	6	0.85	-0.62	-0.84
22	7	1	2	12	11.7	12.3	2.05	1.93	2.16
22	7	1	3	12	11.1	11.3	0.44	0.14	0.21
22	7	1	4	13.5	13.5	13.4	0.71	0.71	0.68
22	7	1	5	5.8	6.7	6.5	-0.12	0.65	0.49
22	7	1	6	6.7	6.9	7.1	0.14	0.29	0.45
22	7	1	7	8.7	8.7	8.8	-0.3	-0.3	-0.23
22	7	1	8	8.1	8.1	8.2	-1.14	-1.14	-1.06
22	7	1	9	9.4	8.9	8.9	2.21	1.92	1.92
22	7	1	10	7.4	7.5	7.2	0.23	0.3	0.08
22	7	1	11	25.2	25.6	25.3	2.22	2.29	2.24
22	7	1	12	11.4	11.4	11.4	-1.16	-1.16	-1.16
22	7	1	13	26.6	25.4	25.9	0.77	0.46	0.59
22	7	1	14	35.3	35.6	35.8	1.4	1.46	1.49
22	7	1	15	23.4	23.9	24	-0.06	0.08	0.1
22	7	1	16	37.1	37.4	37.5	1.73	1.78	1.79
23	8	2	1	5.2	5.1	5.5	-0.99	-1.08	-0.73
23	8	2	2	5.3	5.4	5	-1.18	-1.09	-1.44
23	8	2	3	7.2	7	7	-1.02	-1.13	-1.13
23	8	2	4	8.3	8.1	8	-0.66	-0.75	-0.8
23	8	2	5	4.6	4.1	5.4	-1.1	-1.72	-0.24
23	8	2	6	5.2	6.1	5.7	-0.96	-0.11	-0.47
23	8	2	7	7.6	7.7	7	-0.52	-0.44	-1.01
23	8	2	8	8.1	8	8	-0.55	-0.63	-0.63
23	8	2	9	4.8	5	5.4	-0.99	-0.77	-0.35
23	8	2	10	5.7	5.7	6.5	-0.74	-0.74	-0.03
23	8	2	11	10.3	9.8	9.7	-0.69	-0.91	-0.95
23	8	2	12	9.5	9.8	9.6	-1.02	-0.88	-0.97
23	8	2	13	19.8	20	20.2	-0.76	-0.7	-0.63
23	8	2	14	22.5	22.4	22.7	-1.12	-1.15	-1.06
23	8	2	15	19.6	20	20	-0.74	-0.61	-0.61
23	8	2	16	22.8	22.6	23	-0.89	-0.95	-0.84
24	8	2	1	7.7	7.7	7.7	0.8	0.8	0.8
24	8	2	2	8.8	9.2	9	1.14	1.34	1.24
24	8	2	3	9	8.9	8.8	-0.15	-0.19	-0.24
24	8	2	4	7.7	8	7.9	-0.95	-0.8	-0.85
24	8	2	5	5.7	5.5	5.6	0.04	-0.15	-0.05
24	8	2	6	5.8	5.4	5.6	-0.38	-0.76	-0.56
24	8	2	7	7.8	8	8.2	-0.37	-0.22	-0.07
24	8	2	8	9.6	10.5	9.7	0.45	0.98	0.51
24	8	2	9	6.1	5.4	6.1	0.31	-0.35	0.31
24	8	2	10	8	7.5	7.4	1.1	0.75	0.67
24	8	2	11	11	10.2	10.2	-0.41	-0.73	-0.73
24	8	2	12	11.3	11.1	11.4	-0.26	-0.34	-0.23
24	8	2	13	19.8	20	19.9	-0.76	-0.7	-0.73
24	8	2	14	24.3	24.3	24	-0.6	-0.6	-0.69
24	8	2	15	23.3	23.7	23.4	0.37	0.48	0.4
24	8	2	16	25.7	25.9	25.9	-0.13	-0.08	-0.08
25	8	2	1	7.5	7.6	7.6	0.68	0.74	0.74
25	8	2	2	7.6	7.7	7.7	0.47	0.53	0.53
25	8	2	3	9.2	8.5	8	-0.07	-0.37	-0.61
25	8	2	4	8.9	8.4	8.1	-0.38	-0.61	-0.75
25	8	2	5	3.9	5	3.8	-1.98	-0.66	-2.12
25	8	2	6	5.7	7	5.5	-0.47	0.63	-0.66
25	8	2	7	6	5.3	5.2	-1.92	-2.65	-2.76
25	8	2	8	6.7	7.2	6.4	-1.68	-1.25	-1.95
25	8	2	9	5.9	5.6	5.4	0.13	-0.15	-0.35
25	8	2	10	6.2	7.7	6.8	-0.29	0.89	0.21
25	8	2	11	7.6	8.1	7.9	-2.01	-1.73	-1.84
25	8	2	12	9.9	8.3	7.9	-0.84	-1.6	-1.81
25	8	2	13	16.5	16.9	16.5	-1.97	-1.81	-1.97
25	8	2	14	30.5	30.6	30.7	0.91	0.93	0.95
25	8	2	15	16.9	17.6	17	-1.69	-1.43	-1.65
25	8	2	16	23.9	24.2	24.2	-0.59	-0.51	-0.51
26	10	2	1	9.5	8.6	8.9	2.58	2.12	2.28
26	10	2	2	8	7.6	7.7	1.52	1.28	1.34
26	10	2	3	8.9	8.1	7.6	0.68	0.32	0.07
26	10	2	4	8.5	7.6	7.8	0.31	-0.12	-0.02
26	10	2	5	7.1	6.9	6.9	2.14	1.98	1.98
26	10	2	6	7.8	7.4	7.3	2.13	1.84	1.77
26	10	2	7	6.8	6.2	6.2	-0.15	-0.7	-0.7
26	10	2	8	8.6	7.9	7.7	0.83	0.32	0.17
26	10	2	9	6	5.7	5.2	0.97	0.69	0.19
26	10	2	10	7.1	6.4	6.3	1.19	0.63	0.55
26	10	2	11	8.3	7.8	7.6	-0.5	-0.77	-0.88
26	10	2	12	10.4	10.5	8.9	0.44	0.48	-0.23
26	10	2	13	21	21.2	21	0.31	0.38	0.31
26	10	2	14	27.2	27.4	27.3	0.93	0.98	0.95
26	10	2	15	23.5	23.6	23.5	1.18	1.2	1.18
26	10	2	16	27.2	26.9	27.1	1.07	1	1.04
27	10	2	1	5.5	5.8	6	0.08	0.33	0.48
27	10	2	2	6.4	6.4	6.3	0.5	0.5	0.43
27	10	2	3	7.3	6.8	6.8	-0.09	-0.36	-0.36
27	10	2	4	8.5	7.4	7.7	0.31	-0.22	-0.07
27	10	2	5	5.2	5.4	5	0.47	0.68	0.26
27	10	2	6	5.6	6.1	6	0.36	0.81	0.72
